START_TIME,COMPLEX_NO,DATA_SYSTEM_CODE,BANK_CODE,VERSION,MS_SYSTEM_CODE,EN_CODE,DATA_LEN,PROTOCOL_TYPE,REQUEST_TYPE,CLIENT_IP,SERIAL_NO,EXT_DATA,UNIQUE_NO,USER_DATA
07:01:06,085,21.160.31.145-KS-070105,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,070105, ,7C93D84F760A4DC9A462A8072602E460,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:01:06,162,21.160.31.145-KS-070105,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.145,070105, ,CDE8B06E26464F458CE3104E9BCD88F2,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420102198401153116|����</uniqMetadata></req>
07:03:42,769,21.160.31.145-KS-070342,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,070342, ,D335CBD778414B22B856BB29A2F13516,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:03:42,844,21.160.31.145-KS-070342,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,070342, ,089C5316209243E4ADEBB4B643827119,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>420821199502093038|��־��</uniqMetadata></req>
07:05:06,481,21.160.31.145-KS-070506,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,070506, ,FC7025E4FDCB4B4EA7FE79DEF61767B4,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:05:06,559,21.160.31.145-KS-070506,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,070506, ,30D27ECE6BBD45BABE8B48A761C38272,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>330621196411172770|��ˮ��</uniqMetadata></req>
07:06:51,134,21.160.31.145-KS-070650,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.145,070650, ,10969C368C334353B7AD8C4747FAB245,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:06:51,209,21.160.31.145-KS-070650,cbip,003,0301,cbip, ,131,2,ContentExist,21.160.31.145,070650, ,9DB6F9B6379C4A4C92CC3BC26692FB3B,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>421022196110213037|�Ϸ���</uniqMetadata></req>
07:07:41,083,21.160.31.151-KS-070740,cbip,003,0301,cbip, ,320,3,ApplyAddrHandler,21.160.31.151,070740, ,3B650F74821443F498B476CA78564D54,<?xml version="1.0" encoding="UTF-8"?><req><socketIp></socketIp><socketPort></socketPort><ftpIp></ftpIp><ftpPort></ftpPort><ftpPath></ftpPath><originaltext>01234567890123456789012345678901234567</originaltext><ciphertext>4f598233c4e86579231924378219a9a0e94b621a94514659948da7d76555316432af41beca3db260</ciphertext></req>
07:07:41,158,21.160.31.151-KS-070740,cbip,003,0301,cbip, ,128,2,ContentExist,21.160.31.151,070740, ,EBF15DB6C6E84A0C8FE64451C70C8AA3,<?xml version="1.0" encoding="UTF-8"?><req><dataType>0105</dataType><uniqMetadata>42010619660210507X|�ɳ�</uniqMetadata></req>
